2015 3 27 4 2 1900 8160 1 0 0 3 7 1900 0 1975 47.2114 1280 6532 20
2014 9 2 4 3 3380 16133 1 0 1 3 8 2330 1050 1959 47.5501 2500 11100 35
2014 12 11 3 2 2070 9000 1 0 0 4 7 1450 620 1969 47.3085 1630 7885 25.4
2015 4 30 3 1 1150 8924 1 0 0 3 6 1150 0 1943 47.3865 1492 8924 17.5
2015 3 31 3 2.5 2040 7503 2 0 0 3 8 2040 0 1987 47.5718 2170 7503 61.9
2015 1 6 3 1 1550 12670 1 0 0 4 7 1550 0 1962 47.5024 1550 8880 24
2014 9 9 3 2.5 1520 7200 2 0 0 4 7 1520 0 1985 47.3679 1780 7210 15.8
2014 9 5 2 1 790 5985 1 0 0 3 6 790 0 1944 47.4941 1030 5985 20
2014 7 31 3 1.5 1900 9737 1 0 0 4 7 1200 700 1968 47.4125 1670 9737 27.5
2015 2 10 5 3.25 4300 50405 2 0 0 3 8 3220 1080 1972 47.4615 2680 41684 59.35
2015 4 2 5 2.5 2400 4548 2 0 0 3 7 2400 0 2003 47.371 2200 4465 33.5
2015 4 15 4 2.25 1800 9018 2 0 0 3 7 1800 0 1992 47.2126 1670 9380 27.2
2014 7 1 1 1 590 833 1 0 0 4 7 590 0 1926 47.6082 780 1617 20.2
2015 3 25 3 1 1250 8276 1 0 0 5 6 1250 0 1939 47.2092 1250 8792 21.9
2014 10 2 3 1 990 10125 1 0 0 3 7 990 0 1972 47.3422 1360 10125 22.25
2014 8 29 3 1.75 1670 8511 1 0 0 3 7 1340 330 1985 47.3257 1580 7218 26
2014 8 19 4 2.25 2780 15075 2 0 0 3 7 2780 0 1985 47.477 1650 25542 43.995
2015 4 30 3 1 990 7420 1 0 0 5 6 990 0 1960 47.2898 1010 7420 20.8
2014 6 3 3 1.5 1660 8797 1 0 0 4 7 1660 0 1956 47.5892 2350 10053 71.25
2014 10 31 3 2.5 2160 8809 1 0 0 3 9 1540 620 2014 47.6994 930 5420 73
2015 2 3 2 1 710 9000 1 0 0 5 6 710 0 1943 47.4811 1230 9000 15.3
2014 6 27 3 2.5 1060 1536 2 0 0 3 8 1060 0 2000 47.6907 1220 1316 41.5
2014 6 11 2 1.25 1240 2150 2 0 0 3 8 1240 0 2014 47.6884 1340 5289 54.5
2014 7 18 4 2.5 1810 13000 1 0 0 4 8 1470 340 1977 47.2202 1850 13000 27.9
2014 10 20 4 1.75 1510 5500 1 0 0 3 7 1510 0 1920 47.535 1320 6431 25
2014 5 20 2 1 1730 6375 2 0 0 4 6 1730 0 1945 47.5357 1180 6250 39.6675
2015 2 11 4 2.25 2010 15375 1 0 0 4 8 2010 0 1957 47.5956 1930 15375 66
2014 5 19 2 1.5 1660 4680 1 0 0 5 6 830 830 1908 47.5134 1930 5400 36.8
2014 12 18 3 2.5 1600 1311 3 0 0 3 8 1600 0 2005 47.6903 1390 1321 46.5
2015 1 6 5 2.75 2670 4780 2 0 0 3 8 2670 0 2013 47.4866 2560 5380 48
2014 7 17 4 2.5 3160 16564 2 0 0 3 10 3160 0 1987 47.6365 3160 12415 79.5
2015 5 6 3 2.5 1980 1873 2 0 0 3 7 1470 510 1996 47.6659 1500 1873 58
2014 8 11 3 3.25 2210 3600 2 0 0 3 8 1820 390 1995 47.7031 2010 6690 42.9
2015 4 29 3 1.75 1180 6260 1 0 0 4 8 1180 0 1993 47.3531 1580 7272 27.5
2014 7 2 3 3 1820 1641 3 0 0 3 8 1540 280 2006 47.6482 1720 1501 62.5
2014 11 7 3 1 1520 8870 1 0 0 4 7 1520 0 1951 47.7638 1520 7800 32
2014 11 4 3 2.25 2280 6150 2 0 2 3 8 2280 0 1984 47.5423 1920 6150 66
2015 1 9 4 2.5 3270 9650 1 0 3 4 9 2320 950 1971 47.409 2340 17357 70
2014 6 25 4 2.75 2840 4000 1 0 0 5 8 1960 880 1912 47.5846 2750 4000 87
2014 7 8 4 5.25 6500 14986 2 0 0 3 11 5180 1320 2001 47.6304 2270 8119 245.8
2015 4 23 3 2.5 1950 3825 2 0 0 3 7 1950 0 2013 47.3588 1950 3825 30.9
2015 4 29 4 1.75 1670 13125 1 0 0 5 8 1670 0 1973 47.6315 2360 12500 69.7
